"","","5%","95%"
"b[dreuth species:Blue-headed_Vireo]",0.936412504280868,0.416142552396545,1.49809273887229
"b[fidino species:Blue-headed_Vireo]",0.358682939829508,-0.473819644396838,1.17251571321618
"b[(Intercept) species:Bobolink]",-0.026740128075135,-0.713253702248089,0.655979592572908
"b[dreuth species:Bobolink]",-0.857363991697436,-1.4441417237528,-0.297093314913518
"b[fidino species:Bobolink]",-3.62159164357601,-5.03324439937231,-2.45891691009085
"b[(Intercept) species:Brown_Creeper]",1.70906090536615,1.27420536252489,2.13930664458135
"b[dreuth species:Brown_Creeper]",-0.340861660717454,-0.663633001231191,-0.0210015274110286
"b[fidino species:Brown_Creeper]",0.0240072652516656,-0.449735599311604,0.515561358337234
"b[(Intercept) species:Brown_Thrasher]",1.58978962807767,1.04780508447515,2.13862149657714
"b[dreuth species:Brown_Thrasher]",0.557019073561606,0.251609974919901,0.867015263622865
"b[fidino species:Brown_Thrasher]",0.342136696071848,-0.235059176429782,0.905625048664818
"b[(Intercept) species:Brown-headed_Cowbird]",3.00900531364128,2.59501384264826,3.42284702736642
"b[dreuth species:Brown-headed_Cowbird]",-1.22975631116474,-1.53472895681935,-0.925874778206152
"b[fidino species:Brown-headed_Cowbird]",-2.01468063280517,-2.47675514127146,-1.54029822941211
"b[(Intercept) species:Canada_Warbler]",0.0367797387713921,-0.424376629501438,0.496721833984114
"b[dreuth species:Canada_Warbler]",0.644657177450748,0.2156186237841,1.0857988237783
"b[fidino species:Canada_Warbler]",0.196959828771353,-0.439815931156337,0.801942264387539
"b[(Intercept) species:Cape_May_Warbler]",-0.138593887199865,-0.605586269845634,0.315536859010197
"b[dreuth species:Cape_May_Warbler]",0.396486500614275,-0.0435792800725191,0.842888750914511
"b[fidino species:Cape_May_Warbler]",0.251196846643606,-0.340402893443294,0.827738941883668
"b[(Intercept) species:Cedar_Waxwing]",-0.710179802142273,-1.56176720535432,0.140344877948156
"b[dreuth species:Cedar_Waxwing]",0.872704642942282,0.352736656015566,1.4188284643403
"b[fidino species:Cedar_Waxwing]",-1.45482226906119,-2.35761980260619,-0.557723131074495
"b[(Intercept) species:Cerulean_Warbler]",-2.67323352307518,-3.85682821739288,-1.69099692612596
"b[dreuth species:Cerulean_Warbler]",-0.608930811558473,-2.00218010120861,0.721725931848502
"b[fidino species:Cerulean_Warbler]",0.966788981903425,-0.414003544477798,2.36169898922402
"b[(Intercept) species:Chestnut-sided_Warbler]",0.879445862779317,0.508811670653989,1.25069063897633
"b[dreuth species:Chestnut-sided_Warbler]",0.0484755902350667,-0.311187955168609,0.416511477429241
"b[fidino species:Chestnut-sided_Warbler]",-0.294997651939131,-0.767371685816588,0.173923469856664
"b[(Intercept) species:Chimney_Swift]",1.56565183535583,0.903038283395427,2.22859361273639
"b[dreuth species:Chimney_Swift]",-0.7093151478454,-1.07452445232424,-0.345912628556057
"b[fidino species:Chimney_Swift]",-0.449020708712576,-1.0896541665494,0.172038681903677
"b[(Intercept) species:Chipping_Sparrow]",1.62507684704256,1.06054594358831,2.18992435531362
"b[dreuth species:Chipping_Sparrow]",-1.2183621071516,-1.59724517759804,-0.849303848223789
"b[fidino species:Chipping_Sparrow]",-1.13959802356539,-1.70899202232297,-0.56134633171238
"b[(Intercept) species:Clay-colored_Sparrow]",-3.0046893137344,-4.23058897492666,-2.0409803323387
"b[dreuth species:Clay-colored_Sparrow]",2.21935987343535,1.23490720416445,3.41695882668091
"b[fidino species:Clay-colored_Sparrow]",2.4950060506034,1.40176600658311,3.78188063233559
"b[(Intercept) species:Cliff_Swallow]",-3.06773634113087,-4.57169258252864,-1.82047690217934
"b[dreuth species:Cliff_Swallow]",0.76760522664612,-0.561231562434721,2.21690736070457
"b[fidino species:Cliff_Swallow]",2.70828960747506,1.32050449051719,4.26693437575849
