"species","Habitat","Food","Nesting","Behavior","Conservation","status"
"Redhead","Lakes and Ponds","Plants","Floating","Surface Dive","Low Concern","Nonbreeding"
"Ring-billed Gull","Lakes and Ponds","Omnivore","Ground","Ground Forager","Low Concern","Migrating"
"Ring-necked Duck","Lakes and Ponds","Plants","Ground","Surface Dive","Low Concern","Migrating"
"Rock Pigeon","Towns","Seeds","Building","Ground Forager","Low Concern","Year-round"
"Rose-breasted Grosbeak","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Breeding"
"Ruby-crowned Kinglet","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Migrating"
"Ruby-throated Hummingbird","Open Woodlands","Nectar","Tree","Hovering","Low Concern","Breeding"
"Ruddy Duck","Marshes","Aquatic invertebrates","Ground","Surface Dive","Low Concern","Nonbreeding"
"Rusty Blackbird","Forests","Insects","Tree","Ground Forager","Common Bird in Steep Decline","Nonbreeding"
"Sanderling","Shorelines","Aquatic invertebrates","Ground","Probing","Low Concern","Migrating"
"Savannah Sparrow","Grasslands","Insects","Ground","Ground Forager","Low Concern","Breeding"
"Scarlet Tanager","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Breeding"
"Sharp-shinned Hawk","Forests","Birds","Tree","Aerial Dive (ground/talons)","Low Concern","Nonbreeding"
"Solitary Sandpiper","Marshes","Aquatic invertebrates","Tree","Probing","Low Concern","Migrating"
"Song Sparrow","Open Woodlands","Insects","Shrub","Ground Forager","Low Concern","Year-round"
"Sora","Marshes","Seeds","Floating","Ground Forager","Low Concern","Breeding"
"Spotted Sandpiper","Shorelines","Small Animals","Ground","Probing","Low Concern","Breeding"
"Summer Tanager","Open Woodlands","Insects","Tree","Foliage Gleaner","Low Concern","Out of range"
"Swainson's Thrush","Forests","Insects","Shrub","Foliage Gleaner","Low Concern","Migrating"
"Swamp Sparrow","Marshes","Insects","Shrub","Ground Forager","Low Concern","Year-round"
"Tennessee Warbler","Forests","Insects","Ground","Foliage Gleaner","Low Concern","Migrating"
"Tree Swallow","Lakes and Ponds","Insects","Cavity","Aerial Forager","Low Concern","Breeding"
"Veery","Forests","Insects","Ground","Ground Forager","Low Concern","Migrating"
"Vesper Sparrow","Grasslands","Insects","Ground","Ground Forager","Low Concern","Breeding"
"Virginia Rail","Marshes","Aquatic invertebrates","Ground","Probing","Low Concern","Breeding"
"Warbling Vireo","Open Woodlands","Insects","Tree","Foliage Gleaner","Low Concern","Breeding"
"White-breasted Nuthatch","Forests","Insects","Cavity","Bark Forager","Low Concern","Year-round"
"White-crowned Sparrow","Scrub","Insects","Ground","Ground Forager","Low Concern","Nonbreeding"
"White-throated Sparrow","Forests","Seeds","Ground","Ground Forager","Low Concern","Nonbreeding"
"Willow Flycatcher","Marshes","Insects","Shrub","Flycatching","Low Concern","Breeding"
"Wilson's Snipe","Marshes","Aquatic invertebrates","Ground","Probing","Low Concern","Nonbreeding"
"Wilson's Warbler","Scrub","Insects","Ground","Foliage Gleaner","Common Bird in Steep Decline","Migrating"
"Winter Wren","Forests","Insects","Cavity","Ground Forager","Low Concern","Migrating"
"Wood Duck","Lakes and Ponds","Insects","Cavity","Dabbler","Low Concern","Year-round"
"Wood Thrush","Forests","Insects","Tree","Ground Forager","Declining","Breeding"
"Yellow-bellied Flycatcher","Forests","Insects","Ground","Flycatching","Low Concern","Migrating"
"Yellow-bellied Sapsucker","Forests","Insects","Cavity","Bark Forager","Low Concern","Migrating"
"Yellow-billed Cuckoo","Open Woodlands","Insects","Tree","Foliage Gleaner","Common Bird in Steep Decline","Breeding"
"Yellow-breasted Chat","Scrub","Insects","Shrub","Foliage Gleaner","Low Concern","Breeding"
"Yellow-headed Blackbird","Marshes","Insects","Shrub","Ground Forager","Low Concern","Breeding"
"Yellow-rumped Warbler","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Migrating"
"Yellow-throated Vireo","Open Woodlands","Insects","Tree","Foliage Gleaner","Low Concern","Breeding"
"Yellow-throated Warbler","Forests","Insects","Tree","Bark Forager","Low Concern","Breeding"
"Yellow Warbler","Open Woodlands","Insects","Shrub","Foliage Gleaner","Low Concern","Breeding"
"Golden-winged Warbler","Open Woodlands","Insects","Ground","Foliage Gleaner","Red Watch List","Migrating"
