"species","year","daySeen","observer"
"Hermit Thrush",1899,9,"Walter"
"Black-and-white Warbler",1899,15,"Walter"
"Least Flycatcher",1899,18,"Walter"
"Magnolia Warbler",1899,13,"Walter"
"Black-throated Blue Warbler",1899,14,"Walter"
"Swainson's Thrush",1899,4,"Walter"
"Eastern Phoebe",1899,4,"Walter"
"Baltimore Oriole",1899,6,"Walter"
"Northern Waterthrush",1899,6,"Walter"
"Field Sparrow",1899,2,"Walter"
"Swamp Sparrow",1899,4,"Walter"
"American Crow",1899,11,"Walter"
"Chestnut-sided Warbler",1899,6,"Walter"
"Ovenbird",1899,11,"Walter"
"White-breasted Nuthatch",1899,6,"Walter"
"Common Yellowthroat",1899,17,"Walter"
"Eastern Wood-Pewee",1899,14,"Walter"
"Downy Woodpecker",1899,7,"Walter"
"House Wren",1899,0,"Walter"
"Red-eyed Vireo",1899,10,"Walter"
"Loggerhead Shrike",1899,1,"Walter"
"Indigo Bunting",1899,17,"Walter"
"Black-throated Green Warbler",1899,9,"Walter"
"Blackburnian Warbler",1899,4,"Walter"
"Blackpoll Warbler",1899,7,"Walter"
"Eastern Kingbird",1899,1,"Walter"
"Scarlet Tanager",1899,3,"Walter"
"Ruby-throated Hummingbird",1899,9,"Walter"
"Mourning Dove",1899,3,"Walter"
"Rose-breasted Grosbeak",1899,2,"Walter"
"American Tree Sparrow",1899,0,"Walter"
"Winter Wren",1899,5,"Walter"
"Eastern Meadowlark",1899,0,"Walter"
"Purple Martin",1899,0,"Walter"
"Cape May Warbler",1899,2,"Walter"
"Warbling Vireo",1899,1,"Walter"
"Mourning Warbler",1899,8,"Walter"
"Wilson's Warbler",1899,1,"Walter"
"Yellow-billed Cuckoo",1899,7,"Walter"
"Great Crested Flycatcher",1899,2,"Walter"
"Bobolink",1899,0,"Walter"
"Canada Warbler",1899,3,"Walter"
"Red-winged Blackbird",1899,0,"Walter"
"Wood Thrush",1899,3,"Walter"
"Orchard Oriole",1899,3,"Walter"
"Red-breasted Nuthatch",1899,0,"Walter"
"Northern Harrier",1899,2,"Walter"
"Hairy Woodpecker",1899,1,"Walter"
"Bay-breasted Warbler",1899,1,"Walter"
"Northern Parula",1899,0,"Walter"
"Black-capped Chickadee",1899,0,"Walter"
"Pine Warbler",1899,0,"Walter"
"Henslow's Sparrow",1899,2,"Walter"
"Nashville Warbler",1899,1,"Walter"
"Yellow-throated Vireo",1899,0,"Walter"
"Cedar Waxwing",1899,5,"Walter"
"Purple Finch",1899,0,"Walter"
"Vesper Sparrow",1899,0,"Walter"
"Blue-headed Vireo",1899,0,"Walter"
"Gray-cheeked Thrush",1899,0,"Walter"
"American Kestrel",1899,1,"Walter"
"Yellow-bellied Flycatcher",1899,0,"Walter"
"Common Nighthawk",1899,2,"Walter"
"Lincoln's Sparrow",1899,0,"Walter"
"Black-billed Cuckoo",1899,1,"Walter"
"Rusty Blackbird",1899,2,"Walter"
"Yellow-breasted Chat",1899,0,"Walter"
"Marsh Wren",1899,2,"Walter"
"Louisiana Waterthrush",1899,0,"Walter"
"Prothonotary Warbler",1899,1,"Walter"
"Savannah Sparrow",1899,0,"Walter"
"Golden-winged Warbler",1899,0,"Walter"
"Eastern Whip-poor-will",1899,1,"Walter"
"Connecticut Warbler",1899,0,"Walter"
"Dickcissel",1899,0,"Walter"
"Tennessee Warbler",1899,0,"Walter"
"Northern Mockingbird",1899,0,"Walter"
"Cerulean Warbler",1899,0,"Walter"
"Summer Tanager",1899,1,"Walter"
"Northern Cardinal",1899,0,"Walter"
"Red-bellied Woodpecker",1899,0,"Walter"
"Hooded Warbler",1899,0,"Walter"
"Yellow-headed Blackbird",1899,0,"Walter"
"American Robin",1900,57,"Walter"
"Common Grackle",1900,57,"Walter"
"Blue Jay",1900,61,"Walter"
"Brown-headed Cowbird",1900,44,"Walter"
"Dark-eyed Junco",1900,32,"Walter"
"Eastern Towhee",1900,24,"Walter"
"Song Sparrow",1900,19,"Walter"
"Northern Flicker",1900,21,"Walter"
"Ruby-crowned Kinglet",1900,23,"Walter"
"White-throated Sparrow",1900,23,"Walter"
"Eastern Bluebird",1900,7,"Walter"
"Veery",1900,23,"Walter"
"Yellow-bellied Sapsucker",1900,15,"Walter"
"Yellow Warbler",1900,24,"Walter"
"Belted Kingfisher",1900,24,"Walter"
"Red-headed Woodpecker",1900,16,"Walter"
"Yellow-rumped Warbler",1900,11,"Walter"
"Brown Thrasher",1900,20,"Walter"
"Brown Creeper",1900,19,"Walter"
"Gray Catbird",1900,16,"Walter"
"Golden-crowned Kinglet",1900,13,"Walter"
"Chipping Sparrow",1900,11,"Walter"
"American Goldfinch",1900,12,"Walter"
"Tree Swallow",1900,16,"Walter"
"American Redstart",1900,19,"Walter"
"Barn Swallow",1900,10,"Walter"
"Fox Sparrow",1900,14,"Walter"
"Chimney Swift",1900,14,"Walter"
"Blue-gray Gnatcatcher",1900,11,"Walter"
"White-crowned Sparrow",1900,18,"Walter"
"Palm Warbler",1900,7,"Walter"
"Hermit Thrush",1900,10,"Walter"
"Black-and-white Warbler",1900,11,"Walter"
"Least Flycatcher",1900,8,"Walter"
"Magnolia Warbler",1900,13,"Walter"
"Black-throated Blue Warbler",1900,9,"Walter"
"Swainson's Thrush",1900,14,"Walter"
"Eastern Phoebe",1900,5,"Walter"
"Baltimore Oriole",1900,10,"Walter"
"Northern Waterthrush",1900,9,"Walter"
"Field Sparrow",1900,12,"Walter"
"Swamp Sparrow",1900,14,"Walter"
"American Crow",1900,7,"Walter"
"Chestnut-sided Warbler",1900,11,"Walter"
"Ovenbird",1900,11,"Walter"
