"ModernName","Year","arrival","ob","julian"
"Northern Rough-winged Swallow",2013,2013-04-15,"Fidino",105
"Northern Rough-winged Swallow",2014,2014-04-16,"Fidino",106
"Northern Rough-winged Swallow",2015,2015-04-08,"Fidino",98
"Northern Shoveler",2012,2012-03-29,"Fidino",89
"Northern Shoveler",2013,2013-03-18,"Fidino",77
"Northern Shoveler",2014,2014-04-01,"Fidino",91
"Northern Waterthrush",2012,2012-05-12,"Fidino",133
"Northern Waterthrush",2013,2013-04-23,"Fidino",113
"Northern Waterthrush",2014,2014-04-29,"Fidino",119
"Northern Waterthrush",2015,2015-05-04,"Fidino",124
"Olive-sided Flycatcher",2013,2013-05-20,"Fidino",140
"Olive-sided Flycatcher",2014,2014-05-20,"Fidino",140
"Olive-sided Flycatcher",2015,2015-05-27,"Fidino",147
"Orange-crowned Warbler",2012,2012-05-08,"Fidino",129
"Orange-crowned Warbler",2013,2013-05-02,"Fidino",122
"Orange-crowned Warbler",2014,2014-04-25,"Fidino",115
"Ovenbird",2012,2012-05-07,"Fidino",128
"Ovenbird",2013,2013-05-11,"Fidino",131
"Ovenbird",2014,2014-05-05,"Fidino",125
"Ovenbird",2015,2015-05-12,"Fidino",132
"Palm Warbler",2012,2012-04-23,"Fidino",114
"Palm Warbler",2013,2013-04-16,"Fidino",106
"Palm Warbler",2014,2014-04-22,"Fidino",112
"Palm Warbler",2015,2015-04-14,"Fidino",104
"Philadelphia Vireo",2012,2012-05-16,"Fidino",137
"Philadelphia Vireo",2013,2013-05-16,"Fidino",136
"Philadelphia Vireo",2014,2014-05-13,"Fidino",133
"Pied-billed Grebe",2012,2012-03-13,"Fidino",73
"Pied-billed Grebe",2013,2013-04-09,"Fidino",99
"Pied-billed Grebe",2014,2014-04-18,"Fidino",108
"Pied-billed Grebe",2015,2015-04-01,"Fidino",91
"Pine Siskin",2013,2013-05-21,"Fidino",141
"Pine Siskin",2015,2015-05-12,"Fidino",132
"Pine Warbler",2012,2012-05-04,"Fidino",125
"Pine Warbler",2013,2013-05-01,"Fidino",121
"Pine Warbler",2014,2014-04-29,"Fidino",119
"Prothonotary Warbler",2013,2013-05-13,"Fidino",133
"Prothonotary Warbler",2015,2015-05-14,"Fidino",134
"Red-bellied Woodpecker",2012,2012-03-20,"Fidino",80
"Red-bellied Woodpecker",2013,2013-03-11,"Fidino",70
"Red-bellied Woodpecker",2015,2015-03-13,"Fidino",72
"Red-breasted Merganser",2013,2013-03-29,"Fidino",88
"Red-breasted Merganser",2014,2014-03-03,"Fidino",62
"Red-breasted Merganser",2015,2015-03-09,"Fidino",68
"Red-breasted Nuthatch",2012,2012-03-21,"Fidino",81
"Red-breasted Nuthatch",2013,2013-03-02,"Fidino",61
"Red-breasted Nuthatch",2014,2014-03-13,"Fidino",72
"Red-eyed Vireo",2012,2012-05-20,"Fidino",141
"Red-eyed Vireo",2013,2013-05-15,"Fidino",135
"Red-eyed Vireo",2014,2014-05-11,"Fidino",131
"Red-eyed Vireo",2015,2015-05-06,"Fidino",126
"Red-headed Woodpecker",2013,2013-03-22,"Fidino",81
"Red-headed Woodpecker",2014,2014-05-08,"Fidino",128
"Red-tailed Hawk",2014,2014-03-13,"Fidino",72
"Red-winged Blackbird",2012,2012-03-06,"Fidino",66
"Red-winged Blackbird",2013,2013-03-04,"Fidino",63
"Red-winged Blackbird",2014,2014-03-01,"Fidino",60
"Red-winged Blackbird",2015,2015-03-10,"Fidino",69
"Redhead",2013,2013-03-08,"Fidino",67
"Redhead",2014,2014-03-10,"Fidino",69
"Redhead",2015,2015-03-03,"Fidino",62
"Ring-billed Gull",2012,2012-03-01,"Fidino",61
"Ring-billed Gull",2013,2013-03-01,"Fidino",60
"Ring-billed Gull",2014,2014-03-03,"Fidino",62
"Ring-billed Gull",2015,2015-03-02,"Fidino",61
"Ring-necked Duck",2014,2014-03-31,"Fidino",90
"Rock Pigeon",2012,2012-03-20,"Fidino",80
"Rock Pigeon",2013,2013-03-04,"Fidino",63
"Rock Pigeon",2014,2014-03-07,"Fidino",66
"Rock Pigeon",2015,2015-03-04,"Fidino",63
"Rose-breasted Grosbeak",2012,2012-05-12,"Fidino",133
"Rose-breasted Grosbeak",2013,2013-05-01,"Fidino",121
"Rose-breasted Grosbeak",2014,2014-05-08,"Fidino",128
"Rose-breasted Grosbeak",2015,2015-05-08,"Fidino",128
"Ruby-crowned Kinglet",2013,2013-04-01,"Fidino",91
"Ruby-crowned Kinglet",2014,2014-04-11,"Fidino",101
"Ruby-crowned Kinglet",2015,2015-03-31,"Fidino",90
"Ruby-throated Hummingbird",2012,2012-05-08,"Fidino",129
"Ruby-throated Hummingbird",2013,2013-05-16,"Fidino",136
"Ruby-throated Hummingbird",2014,2014-05-22,"Fidino",142
"Ruddy Duck",2015,2015-04-20,"Fidino",110
"Rusty Blackbird",2015,2015-03-16,"Fidino",75
"Savannah Sparrow",2012,2012-04-16,"Fidino",107
"Savannah Sparrow",2013,2013-04-15,"Fidino",105
"Savannah Sparrow",2014,2014-04-01,"Fidino",91
"Savannah Sparrow",2015,2015-04-10,"Fidino",100
"Scarlet Tanager",2012,2012-05-12,"Fidino",133
"Scarlet Tanager",2013,2013-05-09,"Fidino",129
"Scarlet Tanager",2014,2014-05-02,"Fidino",122
"Scarlet Tanager",2015,2015-05-09,"Fidino",129
"Song Sparrow",2012,2012-03-05,"Fidino",65
"Song Sparrow",2013,2013-03-06,"Fidino",65
"Song Sparrow",2014,2014-03-08,"Fidino",67
"Song Sparrow",2015,2015-03-02,"Fidino",61
"Sora",2012,2012-04-17,"Fidino",108
"Sora",2013,2013-04-30,"Fidino",120
"Spotted Sandpiper",2012,2012-05-12,"Fidino",133
"Spotted Sandpiper",2013,2013-04-23,"Fidino",113
"Spotted Sandpiper",2014,2014-05-06,"Fidino",126
"Spotted Sandpiper",2015,2015-05-08,"Fidino",128
"Summer Tanager",2015,2015-05-08,"Fidino",128
"Swainson's Thrush",2012,2012-05-19,"Fidino",140
"Swainson's Thrush",2013,2013-05-10,"Fidino",130
"Swainson's Thrush",2014,2014-04-22,"Fidino",112
"Swainson's Thrush",2015,2015-04-06,"Fidino",96
"Swamp Sparrow",2013,2013-03-26,"Fidino",85
"Swamp Sparrow",2014,2014-04-10,"Fidino",100
"Swamp Sparrow",2015,2015-04-06,"Fidino",96
"Tennessee Warbler",2013,2013-05-15,"Fidino",135
"Tree Swallow",2012,2012-05-16,"Fidino",137
"Tree Swallow",2013,2013-04-05,"Fidino",95
"Tree Swallow",2015,2015-04-24,"Fidino",114
"Veery",2013,2013-05-10,"Fidino",130
"Veery",2014,2014-05-13,"Fidino",133
"Veery",2015,2015-05-06,"Fidino",126
"Vesper Sparrow",2013,2013-04-15,"Fidino",105
"Vesper Sparrow",2015,2015-04-16,"Fidino",106
"Virginia Rail",2013,2013-04-15,"Fidino",105
"Warbling Vireo",2012,2012-05-08,"Fidino",129
"Warbling Vireo",2013,2013-05-08,"Fidino",128
"Warbling Vireo",2014,2014-05-07,"Fidino",127
"Warbling Vireo",2015,2015-05-07,"Fidino",127
"White-breasted Nuthatch",2013,2013-03-04,"Fidino",63
"White-breasted Nuthatch",2015,2015-03-04,"Fidino",63
"White-crowned Sparrow",2012,2012-04-30,"Fidino",121
"White-crowned Sparrow",2013,2013-03-02,"Fidino",61
"White-crowned Sparrow",2014,2014-04-29,"Fidino",119
"White-crowned Sparrow",2015,2015-04-10,"Fidino",100
"White-throated Sparrow",2012,2012-04-23,"Fidino",114
"White-throated Sparrow",2013,2013-04-15,"Fidino",105
"White-throated Sparrow",2014,2014-04-09,"Fidino",99
"White-throated Sparrow",2015,2015-03-19,"Fidino",78
"Willow Flycatcher",2012,2012-05-18,"Fidino",139
"Willow Flycatcher",2013,2013-05-15,"Fidino",135
"Willow Flycatcher",2014,2014-05-12,"Fidino",132
"Willow Flycatcher",2015,2015-05-08,"Fidino",128
"Wilson's Warbler",2012,2012-05-14,"Fidino",135
"Wilson's Warbler",2013,2013-05-08,"Fidino",128
"Wilson's Warbler",2014,2014-05-13,"Fidino",133
"Wilson's Warbler",2015,2015-05-06,"Fidino",126
"Winter Wren",2013,2013-04-19,"Fidino",109
"Winter Wren",2015,2015-03-31,"Fidino",90
"Wood Duck",2012,2012-03-16,"Fidino",76
"Wood Duck",2013,2013-03-04,"Fidino",63
"Wood Duck",2014,2014-03-13,"Fidino",72
"Wood Duck",2015,2015-03-09,"Fidino",68
"Wood Thrush",2013,2013-04-30,"Fidino",120
"Wood Thrush",2014,2014-05-02,"Fidino",122
"Wood Thrush",2015,2015-05-04,"Fidino",124
"Yellow-bellied Flycatcher",2012,2012-05-10,"Fidino",131
"Yellow-bellied Flycatcher",2013,2013-05-19,"Fidino",139
"Yellow-bellied Flycatcher",2014,2014-05-06,"Fidino",126
"Yellow-bellied Flycatcher",2015,2015-05-16,"Fidino",136
"Yellow-bellied Sapsucker",2013,2013-04-05,"Fidino",95
"Yellow-bellied Sapsucker",2014,2014-03-28,"Fidino",87
