"","ModernName","Year","DaysSeen"
"184","cliff swallow",2015,0
"185","common golden eye",2012,0
"186","common golden eye",2013,13
"187","common golden eye",2014,0
"188","common golden eye",2015,0
"189","common goldeneye",2012,1
"190","common goldeneye",2013,9
"191","common goldeneye",2014,5
"192","common goldeneye",2015,3
"193","common grackle",2012,39
"194","common grackle",2013,57
"195","common grackle",2014,50
"196","common grackle",2015,40
"197","common merganser",2012,0
"198","common merganser",2013,0
"199","common merganser",2014,6
"200","common merganser",2015,0
"201","common yellowthroat",2012,11
"202","common yellowthroat",2013,22
"203","common yellowthroat",2014,18
"204","common yellowthroat",2015,13
"205","connecticut warbler",2012,0
"206","connecticut warbler",2013,0
"207","connecticut warbler",2014,0
"208","connecticut warbler",2015,1
"209","cooper's hawk",2012,6
"210","cooper's hawk",2013,12
"211","cooper's hawk",2014,13
"212","cooper's hawk",2015,6
"213","dark eyed junco",2012,10
"214","dark eyed junco",2013,41
"215","dark eyed junco",2014,35
"216","dark eyed junco",2015,31
"217","domestic duck",2012,1
"218","domestic duck",2013,43
"219","domestic duck",2014,26
"220","domestic duck",2015,17
"221","domestic goose",2012,16
"222","domestic goose",2013,21
"223","domestic goose",2014,0
"224","domestic goose",2015,0
"225","double crested cormorant",2012,2
"226","double crested cormorant",2013,2
"227","double crested cormorant",2014,2
"228","double crested cormorant",2015,1
"229","downy woodpecker",2012,19
"230","downy woodpecker",2013,48
"231","downy woodpecker",2014,50
"232","downy woodpecker",2015,33
"233","eastern bluebird",2012,0
"234","eastern bluebird",2013,5
"235","eastern bluebird",2014,1
"236","eastern bluebird",2015,0
"237","eastern kingbird",2012,2
"238","eastern kingbird",2013,6
"239","eastern kingbird",2014,5
"240","eastern kingbird",2015,2
"241","eastern meadowlark",2012,3
"242","eastern meadowlark",2013,2
"243","eastern meadowlark",2014,1
"244","eastern meadowlark",2015,3
"245","eastern phoebe",2012,6
"246","eastern phoebe",2013,19
"247","eastern phoebe",2014,6
"248","eastern phoebe",2015,7
"249","eastern towhee",2012,3
"250","eastern towhee",2013,16
"251","eastern towhee",2014,12
"252","eastern towhee",2015,10
"253","eastern wood pewee",2012,2
"254","eastern wood pewee",2013,12
"255","eastern wood pewee",2014,8
"256","eastern wood pewee",2015,7
"257","empidonax flycatcher",2012,0
"258","empidonax flycatcher",2013,13
"259","empidonax flycatcher",2014,12
"260","empidonax flycatcher",2015,10
"261","european starling",2012,49
"262","european starling",2013,64
"263","european starling",2014,54
"264","european starling",2015,46
"265","field sparrow",2012,5
"266","field sparrow",2013,21
"267","field sparrow",2014,11
"268","field sparrow",2015,4
"269","fox sparrow",2012,1
"270","fox sparrow",2013,16
"271","fox sparrow",2014,10
"272","fox sparrow",2015,9
"273","gadwall",2012,24
"274","gadwall",2013,19
"275","gadwall",2014,1
"276","gadwall",2015,5
"277","golden crowned kinglet",2012,0
"278","golden crowned kinglet",2013,8
"279","golden crowned kinglet",2014,10
"280","golden crowned kinglet",2015,8
"281","golden winged warbler",2012,0
"282","golden winged warbler",2013,1
"283","golden winged warbler",2014,1
"284","golden winged warbler",2015,0
"285","gray catbird",2012,13
"286","gray catbird",2013,22
"287","gray catbird",2014,16
"288","gray catbird",2015,11
"289","gray cheeked thrush",2012,1
"290","gray cheeked thrush",2013,8
"291","gray cheeked thrush",2014,3
"292","gray cheeked thrush",2015,1
"293","great blue heron",2012,0
"294","great blue heron",2013,1
"295","great blue heron",2014,9
"296","great blue heron",2015,2
"297","great crested flycatcher",2012,1
"298","great crested flycatcher",2013,6
"299","great crested flycatcher",2014,3
"300","great crested flycatcher",2015,5
"301","great horned owl",2012,0
"302","great horned owl",2013,0
"303","great horned owl",2014,0
"304","great horned owl",2015,1
"305","green heron",2012,19
"306","green heron",2013,17
"307","green heron",2014,14
"308","green heron",2015,13
"309","greylag goose",2012,0
"310","greylag goose",2013,1
"311","greylag goose",2014,26
"312","greylag goose",2015,17
"313","hairy woodpecker",2012,1
"314","hairy woodpecker",2013,11
"315","hairy woodpecker",2014,3
"316","hairy woodpecker",2015,1
"317","henslow's sparrow",2012,0
"318","henslow's sparrow",2013,0
"319","henslow's sparrow",2014,0
"320","henslow's sparrow",2015,1
"321","hermit thrush",2012,11
"322","hermit thrush",2013,19
"323","hermit thrush",2014,18
"324","hermit thrush",2015,12
"325","herring gull",2012,1
"326","herring gull",2013,22
"327","herring gull",2014,29
"328","herring gull",2015,0
"329","hooded merganser",2012,1
"330","hooded merganser",2013,22
"331","hooded merganser",2014,16
"332","hooded merganser",2015,7
"333","hooded warbler",2012,2
"334","hooded warbler",2013,1
"335","hooded warbler",2014,1
"336","hooded warbler",2015,1
"337","horned grebe",2012,0
"338","horned grebe",2013,14
"339","horned grebe",2014,0
"340","horned grebe",2015,0
"341","house finch",2012,9
"342","house finch",2013,23
"343","house finch",2014,17
"344","house finch",2015,15
"345","house sparrow",2012,51
"346","house sparrow",2013,67
"347","house sparrow",2014,56
"348","house sparrow",2015,48
"349","house wren",2012,0
"350","house wren",2013,21
"351","house wren",2014,5
"352","house wren",2015,3
"353","indigo bunting",2012,7
"354","indigo bunting",2013,6
"355","indigo bunting",2014,4
"356","indigo bunting",2015,4
"357","killdeer",2012,0
"358","killdeer",2013,1
"359","killdeer",2014,0
"360","killdeer",2015,0
"361","le conte's sparrow",2012,0
"362","le conte's sparrow",2013,1
"363","le conte's sparrow",2014,1
"364","le conte's sparrow",2015,0
"365","least flycatcher",2012,2
"366","least flycatcher",2013,7
"367","least flycatcher",2014,6
"368","least flycatcher",2015,6
"369","lesser scaup",2012,1
