"","Date","species_seen"
"266",1930-05-11,45
"267",1930-05-12,47
"268",1930-05-13,41
"269",1930-05-14,33
"270",1930-05-15,25
"271",1930-05-16,28
"272",1930-05-17,27
"273",1930-05-18,26
"274",1930-05-19,1
"275",1930-05-20,28
"276",1930-05-21,40
"277",1930-05-22,38
"278",1930-05-23,32
"279",1930-05-24,31
"280",1930-05-25,25
"281",1930-05-26,19
"282",1930-05-27,25
"283",1930-05-28,1
"284",1930-05-29,24
"285",1931-03-02,3
"286",1931-03-03,4
"287",1931-03-11,1
"288",1931-03-19,6
"289",1931-03-20,7
"290",1931-03-21,12
"291",1931-03-22,8
"292",1931-03-23,12
"293",1931-03-24,10
"294",1931-03-30,11
"295",1931-04-01,10
"296",1931-04-02,12
"297",1931-04-04,9
"298",1931-04-05,15
"299",1931-04-06,14
"300",1931-04-07,14
"301",1931-04-08,20
"302",1931-04-09,23
"303",1931-04-10,16
"304",1931-04-11,17
"305",1931-04-12,26
"306",1931-04-13,25
"307",1931-04-14,24
"308",1931-04-15,24
"309",1931-04-16,26
"310",1931-04-17,24
"311",1931-04-18,23
"312",1931-04-19,25
"313",1931-04-20,34
"314",1931-04-22,20
"315",1931-04-23,25
"316",1931-04-24,21
"317",1931-04-25,16
"318",1931-04-26,15
"319",1931-04-27,19
"320",1931-04-28,28
"321",1931-04-29,25
"322",1931-04-30,23
"323",1931-05-01,22
"324",1931-05-02,24
"325",1931-05-03,18
"326",1931-05-04,24
"327",1931-05-05,27
"328",1931-05-07,30
"329",1931-05-09,26
"330",1931-05-10,37
"331",1931-05-12,24
"332",1931-05-13,27
"333",1931-05-14,40
"334",1931-05-15,44
"335",1931-05-16,47
"336",1931-05-17,34
"337",1931-05-18,45
"338",1931-05-19,27
"339",1931-05-20,48
"340",1931-05-21,42
"341",1931-05-22,54
"342",1931-05-23,48
"343",1931-05-24,49
"344",1931-05-25,42
"345",1931-05-26,40
"346",1931-05-27,35
"347",1931-05-28,31
"348",1931-05-29,30
"349",1932-03-11,7
"350",1932-03-12,2
"351",1932-03-16,4
"352",1932-03-18,7
"353",1932-03-25,3
"354",1932-03-26,1
"355",1932-03-28,12
"356",1932-03-29,13
"357",1932-03-30,23
"358",1932-03-31,15
"359",1932-04-01,13
"360",1932-04-02,21
"361",1932-04-03,18
"362",1932-04-04,19
"363",1932-04-05,21
"364",1932-04-07,28
"365",1932-04-08,18
"366",1932-04-09,23
"367",1932-04-10,18
"368",1932-04-11,16
"369",1932-04-12,13
"370",1932-04-13,17
"371",1932-04-14,17
"372",1932-04-15,16
"373",1932-04-16,24
"374",1932-04-17,17
"375",1932-04-18,19
"376",1932-04-19,24
"377",1932-04-20,28
"378",1932-04-21,27
"379",1932-04-22,25
"380",1932-04-23,25
"381",1932-04-25,21
"382",1932-04-26,19
"383",1932-04-27,19
"384",1932-04-28,29
"385",1932-04-29,39
"386",1932-04-30,31
"387",1932-05-01,27
"388",1932-05-02,24
"389",1932-05-03,38
"390",1932-05-04,30
"391",1932-05-05,43
"392",1932-05-06,50
"393",1932-05-07,47
"394",1932-05-08,53
"395",1932-05-09,46
"396",1932-05-10,44
"397",1932-05-11,24
"398",1932-05-12,37
"399",1932-05-13,40
"400",1932-05-14,54
"401",1932-05-15,44
"402",1932-05-16,28
"403",1932-05-17,35
"404",1932-05-18,40
"405",1932-05-19,34
"406",1932-05-20,43
"407",1932-05-21,37
"408",1932-05-22,37
"409",1932-05-23,28
"410",1932-05-24,33
"411",1932-05-25,25
"412",1932-05-27,26
"413",1932-05-28,36
"414",1932-05-29,21
"415",1932-05-30,20
"416",1932-05-31,22
"417",2012-03-01,7
"418",2012-03-05,8
"419",2012-03-06,8
"420",2012-03-07,11
"421",2012-03-08,8
"422",2012-03-09,12
"423",2012-03-12,14
"424",2012-03-13,12
"425",2012-03-14,15
"426",2012-03-15,13
"427",2012-03-16,16
"428",2012-03-19,16
"429",2012-03-20,25
"430",2012-03-21,14
"431",2012-03-22,13
"432",2012-03-26,12
"433",2012-03-29,14
"434",2012-04-03,17
"435",2012-04-04,18
"436",2012-04-05,22
"437",2012-04-06,21
"438",2012-04-09,20
"439",2012-04-10,16
"440",2012-04-11,17
"441",2012-04-12,14
"442",2012-04-16,13
"443",2012-04-17,19
"444",2012-04-19,10
"445",2012-04-20,14
"446",2012-04-21,6
"447",2012-04-23,17
"448",2012-04-24,21
"449",2012-04-25,13
"450",2012-04-26,13
"451",2012-04-27,22
"452",2012-04-30,12
"453",2012-05-01,15
"454",2012-05-02,1
"455",2012-05-03,12
"456",2012-05-04,21
"457",2012-05-07,37
"458",2012-05-08,43
"459",2012-05-09,38
"460",2012-05-10,48
"461",2012-05-11,34
"462",2012-05-12,44
"463",2012-05-13,37
"464",2012-05-14,38
"465",2012-05-15,41
"466",2012-05-16,43
"467",2012-05-17,45
"468",2012-05-18,45
"469",2012-05-19,44
"470",2012-05-20,44
"471",2012-05-21,14
"472",2012-05-22,1
"473",2012-05-23,14
"474",2012-05-24,17
"475",2012-05-25,1
"476",2012-05-29,17
"477",2012-05-30,1
"478",2013-03-01,14
"479",2013-03-02,20
"480",2013-03-04,23
"481",2013-03-06,21
"482",2013-03-07,20
"483",2013-03-08,22
"484",2013-03-11,26
"485",2013-03-12,26
"486",2013-03-13,29
"487",2013-03-14,29
"488",2013-03-15,21
"489",2013-03-18,23
"490",2013-03-19,28
"491",2013-03-20,22
"492",2013-03-21,24
"493",2013-03-22,27
"494",2013-03-25,24
"495",2013-03-26,27
"496",2013-03-27,29
"497",2013-03-28,20
"498",2013-03-29,28
"499",2013-04-01,23
"500",2013-04-02,20
"501",2013-04-03,20
"502",2013-04-04,31
"503",2013-04-05,35
"504",2013-04-08,36
"505",2013-04-09,40
"506",2013-04-11,45
"507",2013-04-12,40
"508",2013-04-15,51
"509",2013-04-16,43
"510",2013-04-17,40
"511",2013-04-19,40
"512",2013-04-22,42
"513",2013-04-23,48
"514",2013-04-24,47
"515",2013-04-25,44
"516",2013-04-26,29
"517",2013-04-29,34
"518",2013-04-30,48
"519",2013-05-01,47
"520",2013-05-02,45
"521",2013-05-03,41
"522",2013-05-06,40
"523",2013-05-07,40
"524",2013-05-08,43
"525",2013-05-09,51
"526",2013-05-10,59
"527",2013-05-11,48
"528",2013-05-12,39
"529",2013-05-13,57
"530",2013-05-14,63
"531",2013-05-15,74
"532",2013-05-16,55
"533",2013-05-17,66
"534",2013-05-18,54
"535",2013-05-19,47
"536",2013-05-20,49
"537",2013-05-21,60
"538",2013-05-22,1
"539",2013-05-23,30
"540",2013-05-24,42
"541",2013-05-28,52
"542",2013-05-29,43
"543",2013-05-30,32
"544",2013-05-31,31
"545",2013-09-10,24
"546",2014-03-01,1
"547",2014-03-03,11
"548",2014-03-07,18
"549",2014-03-08,4
"550",2014-03-10,17
"551",2014-03-11,18
"552",2014-03-13,20
"553",2014-03-14,21
"554",2014-03-17,19
"555",2014-03-18,21
"556",2014-03-20,25
"557",2014-03-21,24
"558",2014-03-24,25
"559",2014-03-25,23
"560",2014-03-26,22
"561",2014-03-28,29
"562",2014-03-31,27
"563",2014-04-01,32
"564",2014-04-02,28
"565",2014-04-04,28
"566",2014-04-07,32
"567",2014-04-08,27
"568",2014-04-09,27
"569",2014-04-10,31
"570",2014-04-11,32
"571",2014-04-15,30
"572",2014-04-16,32
"573",2014-04-17,31
"574",2014-04-18,36
"575",2014-04-21,36
"576",2014-04-22,37
"577",2014-04-23,39
"578",2014-04-24,43
"579",2014-04-25,44
"580",2014-04-29,41
"581",2014-04-30,49
"582",2014-05-01,43
"583",2014-05-02,46
"584",2014-05-05,37
"585",2014-05-06,43
"586",2014-05-07,53
