"ID","BooksCommonName","Date"
549,"Black-throated Blue Warbler",5/4/1899 0:00:00
550,"Black-throated Blue Warbler",5/8/1900 0:00:00
551,"Black-throated Blue Warbler",5/5/1901 0:00:00
552,"Black-throated Blue Warbler",5/2/1902 0:00:00
553,"Black-throated Blue Warbler",5/5/1903 0:00:00
554,"Black-poll Warbler",5/10/1899 0:00:00
555,"Black-poll Warbler",5/13/1900 0:00:00
556,"Black-poll Warbler",5/16/1901 0:00:00
557,"Black-poll Warbler",5/12/1902 0:00:00
558,"Black-poll Warbler",5/6/1903 0:00:00
559,"Blackburnian Warbler",5/10/1898 0:00:00
560,"Blackburnian Warbler",5/3/1899 0:00:00
561,"Blackburnian Warbler",4/28/1900 0:00:00
562,"Blackburnian Warbler",5/10/1901 0:00:00
563,"Blackburnian Warbler",4/28/1902 0:00:00
564,"Blackburnian Warbler",4/30/1903 0:00:00
565,"Black-billed Cuckoo",5/12/1900 0:00:00
566,"Black-billed Cuckoo",5/15/1901 0:00:00
567,"Black-billed Cuckoo",5/16/1902 0:00:00
568,"Black-billed Cuckoo",5/12/1903 0:00:00
569,"Black and White Creeper",4/30/1898 0:00:00
570,"Black and White Creeper",4/21/1899 0:00:00
571,"Black and White Creeper",4/26/1900 0:00:00
572,"Black and White Creeper",5/4/1901 0:00:00
573,"Black and White Creeper",4/28/1902 0:00:00
574,"Black and White Creeper",4/27/1903 0:00:00
575,"Belted Kingfisher",3/25/1898 0:00:00
576,"Belted Kingfisher",3/22/1899 0:00:00
577,"Belted Kingfisher",4/10/1900 0:00:00
578,"Belted Kingfisher",3/26/1901 0:00:00
579,"Belted Kingfisher",4/11/1902 0:00:00
580,"Belted Kingfisher",4/10/1903 0:00:00
581,"Bay-breasted Warbler",5/4/1899 0:00:00
582,"Bay-breasted Warbler",5/11/1900 0:00:00
583,"Bay-breasted Warbler",5/15/1901 0:00:00
584,"Bay-breasted Warbler",4/22/1902 0:00:00
585,"Bay-breasted Warbler",5/9/1903 0:00:00
586,"Barn Swallow",5/1/1898 0:00:00
587,"Barn Swallow",4/23/1899 0:00:00
588,"Barn Swallow",4/26/1900 0:00:00
589,"Barn Swallow",4/10/1901 0:00:00
590,"Barn Swallow",4/18/1902 0:00:00
591,"Barn Swallow",4/24/1903 0:00:00
592,"Baltimore Oriole",5/2/1899 0:00:00
593,"Baltimore Oriole",5/6/1900 0:00:00
594,"Baltimore Oriole",5/4/1901 0:00:00
595,"Baltimore Oriole",5/2/1902 0:00:00
596,"Baltimore Oriole",5/5/1903 0:00:00
597,"American Redstart",5/1/1898 0:00:00
598,"American Redstart",4/28/1899 0:00:00
599,"American Redstart",5/11/1900 0:00:00
600,"American Redstart",5/6/1901 0:00:00
601,"American Redstart",5/2/1902 0:00:00
602,"American Redstart",5/5/1903 0:00:00
603,"American Goldfinch",5/6/1898 0:00:00
604,"American Goldfinch",4/28/1899 0:00:00
605,"American Goldfinch",5/7/1900 0:00:00
606,"American Goldfinch",4/30/1901 0:00:00
607,"American Goldfinch",5/2/1902 0:00:00
608,"American Goldfinch",5/7/1903 0:00:00
