"ID","BooksCommonName","Date"
125,"Yellow-billed Cuckoo",5/1/1899 0:00:00
126,"Yellow-billed Cuckoo",5/16/1900 0:00:00
127,"Yellow-billed Cuckoo",5/17/1901 0:00:00
128,"Yellow-billed Cuckoo",5/17/1902 0:00:00
129,"Yellow-billed Cuckoo",5/12/1903 0:00:00
130,"Yellow-bellied Sapsucker",3/30/1898 0:00:00
131,"Yellow-bellied Sapsucker",4/8/1899 0:00:00
132,"Yellow-bellied Sapsucker",4/6/1900 0:00:00
133,"Yellow-bellied Sapsucker",3/19/1901 0:00:00
134,"Yellow-bellied Sapsucker",3/27/1902 0:00:00
135,"Yellow-bellied Sapsucker",4/1/1903 0:00:00
136,"Yellow-bellied Flycatcher",5/1/1902 0:00:00
137,"Yellow-bellied Flycatcher",5/12/1903 0:00:00
138,"Yellow Warbler",4/30/1898 0:00:00
139,"Yellow Warbler",4/29/1899 0:00:00
140,"Yellow Warbler",4/30/1900 0:00:00
141,"Yellow Warbler",5/6/1901 0:00:00
142,"Yellow Warbler",5/2/1902 0:00:00
143,"Yellow Warbler",4/29/1903 0:00:00
144,"Wood thrush",5/3/1898 0:00:00
145,"Wood thrush",5/1/1899 0:00:00
146,"Wood thrush",5/4/1901 0:00:00
147,"Wood thrush",4/29/1902 0:00:00
148,"Wood thrush",5/12/1903 0:00:00
149,"Wood Pewee",5/19/1898 0:00:00
150,"Wood Pewee",5/10/1899 0:00:00
151,"Wood Pewee",5/11/1900 0:00:00
152,"Wood Pewee",5/16/1901 0:00:00
153,"Wood Pewee",4/28/1902 0:00:00
154,"Wood Pewee",5/12/1903 0:00:00
155,"Winter Wren",4/25/1898 0:00:00
156,"Winter Wren",4/30/1899 0:00:00
157,"Winter Wren",3/22/1901 0:00:00
158,"Winter Wren",4/19/1902 0:00:00
159,"Winter Wren",4/8/1903 0:00:00
160,"Wilson Thrush",4/10/1898 0:00:00
161,"Wilson Thrush",4/12/1899 0:00:00
162,"Wilson Thrush",4/7/1900 0:00:00
163,"Wilson Thrush",4/11/1901 0:00:00
164,"Wilson Thrush",4/26/1902 0:00:00
165,"Wilson Thrush",4/8/1903 0:00:00
166,"Wilson Black-cap Warbler",5/6/1898 0:00:00
167,"Wilson Black-cap Warbler",5/22/1899 0:00:00
168,"Wilson Black-cap Warbler",5/10/1900 0:00:00
169,"Wilson Black-cap Warbler",5/16/1901 0:00:00
170,"Wilson Black-cap Warbler",5/3/1902 0:00:00
171,"Wilson Black-cap Warbler",5/17/1903 0:00:00
172,"White-throated Sparrow",4/13/1898 0:00:00
173,"White-throated Sparrow",4/19/1899 0:00:00
174,"White-throated Sparrow",4/21/1900 0:00:00
175,"White-throated Sparrow",4/17/1901 0:00:00
176,"White-throated Sparrow",3/24/1902 0:00:00
177,"White-throated Sparrow",3/21/1903 0:00:00
178,"White-crowned Sparrow",5/9/1898 0:00:00
179,"White-crowned Sparrow",4/29/1899 0:00:00
180,"White-crowned Sparrow",5/2/1900 0:00:00
181,"White-crowned Sparrow",4/20/1901 0:00:00
182,"White-crowned Sparrow",3/11/1902 0:00:00
183,"White-crowned Sparrow",4/29/1903 0:00:00
184,"White-breasted Nuthatch",3/29/1898 0:00:00
185,"White-breasted Nuthatch",4/11/1899 0:00:00
186,"White-breasted Nuthatch",4/2/1900 0:00:00
187,"White-breasted Nuthatch",3/18/1901 0:00:00
188,"White-breasted Nuthatch",3/31/1902 0:00:00
189,"White-breasted Nuthatch",4/2/1903 0:00:00
190,"Whip-poor-will",4/30/1899 0:00:00
191,"Whip-poor-will",5/9/1901 0:00:00
192,"Whip-poor-will",5/17/1903 0:00:00
193,"Western Yellow-throat",5/1/1898 0:00:00
194,"Western Yellow-throat",4/28/1899 0:00:00
195,"Western Yellow-throat",5/5/1900 0:00:00
196,"Western Yellow-throat",5/5/1901 0:00:00
197,"Western Yellow-throat",5/2/1902 0:00:00
198,"Western Yellow-throat",5/1/1903 0:00:00
199,"Warbling Vireo",5/15/1898 0:00:00
200,"Warbling Vireo",5/12/1899 0:00:00
201,"Warbling Vireo",5/6/1900 0:00:00
202,"Warbling Vireo",5/11/1901 0:00:00
203,"Warbling Vireo",5/7/1902 0:00:00
204,"Warbling Vireo",5/5/1903 0:00:00
205,"Vesper Sparrow",4/18/1902 0:00:00
206,"Vesper Sparrow",4/1/1903 0:00:00
207,"Tree Swallow",4/12/1899 0:00:00
208,"Tree Swallow",4/18/1900 0:00:00
209,"Tree Swallow",4/12/1901 0:00:00
210,"Tree Swallow",3/11/1902 0:00:00
211,"Tree Swallow",4/1/1903 0:00:00
212,"Tree Sparrow",4/5/1901 0:00:00
213,"Tree Sparrow",3/7/1902 0:00:00
214,"Tree Sparrow",3/13/1903 0:00:00
215,"Towhee",3/17/1898 0:00:00
216,"Towhee",4/11/1899 0:00:00
217,"Towhee",4/7/1900 0:00:00
218,"Towhee",3/25/1901 0:00:00
219,"Towhee",3/10/1902 0:00:00
220,"Towhee",3/18/1903 0:00:00
221,"Swamp Sparrow",4/20/1899 0:00:00
222,"Swamp Sparrow",4/20/1899 0:00:00
223,"Swamp Sparrow",4/21/1900 0:00:00
224,"Swamp Sparrow",3/11/1902 0:00:00
225,"Swamp Sparrow",4/12/1903 0:00:00
226,"Sparrow Hawk",4/30/1903 0:00:00
227,"Sparrow Hawk",3/21/1902 0:00:00
228,"Sparrow Hawk",3/24/1901 0:00:00
229,"Sparrow Hawk",4/18/1900 0:00:00
230,"Sparrow Hawk",4/25/1899 0:00:00
231,"Song Sparrow",3/15/1898 0:00:00
232,"Song Sparrow",3/19/1899 0:00:00
233,"Song Sparrow",3/27/1900 0:00:00
234,"Song Sparrow",3/18/1901 0:00:00
235,"Song Sparrow",3/8/1902 0:00:00
236,"Song Sparrow",3/12/1903 0:00:00
237,"Scarlet Tanager",5/4/1899 0:00:00
238,"Scarlet Tanager",5/2/1900 0:00:00
239,"Scarlet Tanager",5/5/1901 0:00:00
240,"Scarlet Tanager",5/3/1902 0:00:00
241,"Scarlet Tanager",5/5/1903 0:00:00
242,"Rusty Blackbird",4/5/1901 0:00:00
243,"Rusty Blackbird",3/17/1903 0:00:00
244,"Ruby-throated Hummingbird",5/9/1899 0:00:00
245,"Ruby-throated Hummingbird",5/13/1900 0:00:00
246,"Ruby-throated Hummingbird",5/16/1901 0:00:00
247,"Ruby-throated Hummingbird",5/17/1902 0:00:00
248,"Ruby-throated Hummingbird",5/13/1903 0:00:00
249,"Ruby-crowned Kinglet",4/1/1898 0:00:00
250,"Ruby-crowned Kinglet",4/13/1899 0:00:00
